"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Full Field Optical Coherence Tomography Image Denoising Using Deep Learning with Spatial Compounding","I. -L. Chen; T. -S. Ho; C. -W. Lu","Apollo Medical Optics, Taipei City, Taiwan; Apollo Medical Optics, Taipei City, Taiwan; Apollo Medical Optics, Taipei City, Taiwan",2020 IEEE 17th International Symposium on Biomedical Imaging (ISBI),"22 May 2020","2020","","","1975","1978","In recent years, deep learning is widely and successfully applied in the medical images which have been established an abundant database in clinical practice. OCT is a relatively new imaging technique and worth in-depth exploration in the deep learning field, however, it is still in an early stage where medical doctors are learning to interpret its images. For shortening the learning curve, this paper used a deep convolutional neural network on a high-resolution full-field OCT system to enhance features in images. By combining with the spatial compounding technique, a noise map prediction method can be employed to discriminate noises from signals and thus increase the image quality. For 100 testing samples, the average of PSNR and SSIM have improved from 20.7 and 0.43 to 26.55 and 0.68 after denoising by the proposed denoising model. Moreover, some important features would be more distinct to support diagnosis in clinical data.","1945-8452","978-1-5386-9330-8","10.1109/ISBI45749.2020.9098452","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9098452","Optical coherence tomography;convolutional neural networks;image denoising;residual learning;spatial compounding","Noise reduction;Speckle;Noise measurement;Imaging;Machine learning;Image quality;Convolutional neural networks","","1","","18","IEEE","22 May 2020","3-7 April 2020","3-7 April 2020","IEEE","IEEE Conferences"
"Discriminative Learning Based Dual Channel Denoising Network For Removal of Noise from MR Images","S. Tripathi; D. C. Pandey","Department of Electronics and Communication, Graphic Era Deemed to be University, Dehradun; Department of Management Studies, Graphic Era Deemed to be University, Dehradun",2022 10th International Conference on Emerging Trends in Engineering and Technology - Signal and Information Processing (ICETET-SIP-22),"15 Jun 2022","2022","","","1","5","The presented manuscript proposes a dual path denoising network for removal of Rician noise from Magnetic Resonance Images (MRI). Noise is an undesired property which gets induced in the MRI or any other imaging modality during the image acquisition process. In this paper we introduced a dual path denoiser incorporated using different normalization techniques and activations in both paths. The medical images are needed to be free from spurious variations to plan the correct diagnosis of the disease. The diverse features learnt by the denoiser enables the network to produce the results which are closer to the expectations in medical imaging domain. The evaluation metrics showed the enhanced capability of the denoising network for removal of Rician noise from MR Images. The network trained once produced exceedingly good results for other datasets without retraining. The SSIM and PSNR metrics showed an improvement of about 4% and 5%.","2157-0485","978-1-6654-6741-4","10.1109/ICETET-SIP-2254415.2022.9791662","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9791662","Deep Learning;Magnetic Resonance Image Denoising;Local Response Normalization;Group Normalization","Uncertainty;Magnetic resonance imaging;Noise reduction;Rician channels;Magnetic resonance;Information processing;Market research","","7","","27","IEEE","15 Jun 2022","29-30 April 2022","29-30 April 2022","IEEE","IEEE Conferences"
"Flat and Texture Region Segmentation in Image Denoising","S. -M. Woo","School of Electrical, Electronics and Communication Engineering, Korea University of Technology and Education, Cheonan-si, Republic of Korea","2022 37th International Technical Conference on Circuits/Systems, Computers and Communications (ITC-CSCC)","3 Oct 2022","2022","","","986","988","Existing image denoising methods have shown to be effective in suppressing noise, however, they over-smooth edge and texture details excessively because it is difficult to distinguish signal and noise while denoising. In this paper, we propose a method to segment an image into texture and flat region for enhancing the performance of denoising. To do this, texture map is generated using Sobel gradients, and is utilized in the loss function of the proposed network to learn the residual of the flat regions. The proposed method can control the level of noise in the texture region while suppressing the noise in the flat region as much as possible.","","978-1-6654-8559-3","10.1109/ITC-CSCC55581.2022.9895050","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9895050","Convolutional neural network;Deep neural network;Image denoising;Texture-adaptive denoising;Texture segmentation","Training;Computers;Image segmentation;Scalability;Image edge detection;Noise reduction;Process control","","","","24","IEEE","3 Oct 2022","5-8 July 2022","5-8 July 2022","IEEE","IEEE Conferences"
"An improved image super resolution and its parallel implementation based on CUDA","C. Feng; X. Zhang; Z. Gao","Institute of Image Communication and Information Processing, Shanghai Jiao Tong University; Institute of Image Communication and Information Processing, Shanghai Jiao Tong University; Institute of Image Communication and Information Processing, Shanghai Jiao Tong University",2015 Tenth International Conference on Digital Information Management (ICDIM),"14 Jan 2016","2015","","","182","187","Image super resolution (SR) based on self-similarity has achieved impressive results by exploiting the local similarity across various scaled images. However, it is time consuming and far from meeting practical applications' requirements and it is prone to unnatural visual artifacts such as facets and enhanced noise. In this paper, with the powerful general purposeGPU, an accelerated parallel implementation based on NVIDIA CUDA architecture has been proposed. Then denoising is combined and implemented together during the SR processing using the patch matching information of similarity, and it makes the images clearer and cleaner. Also, subpixel accuracy of interpolation and searching is applied to improve the similarity matching process, which make the upscaled images more natural-looking. Experimental results demonstrate that the proposed method achieves an impressive speedup rate and produces improved visual quality images in comparison with other state-of-the-art SR.","","978-1-4673-9152-8","10.1109/ICDIM.2015.7381885","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7381885","image super-resolution(SR);parellel CUDA implementation;self-similarity;patch matching;image denoising;subpixel interpolation","Graphics processing units;Indexes;Gold;MATLAB;Image edge detection;Image resolution","","5","","22","IEEE","14 Jan 2016","21-23 Oct. 2015","21-23 Oct. 2015","IEEE","IEEE Conferences"
"Simultaneous Phase Denoising And Unwrapping Of Mr Images Using A New Deep Learning Method","K. S. Vengala; R. K. Gorthi; S. Gorthi","Department of Electrical Engineering, Indian Institute of Technology, Tirupati, India; Department of Electrical Engineering, Indian Institute of Technology, Tirupati, India; Department of Electrical Engineering, Indian Institute of Technology, Tirupati, India",2024 IEEE International Symposium on Biomedical Imaging (ISBI),"22 Aug 2024","2024","","","1","5","The existing approach for unwrapping noisy MR images involves a two-step process: denoising followed by phase unwrapping. However, such a sequential approach could introduce errors, particularly in regions with high noise and abrupt phase transitions. To address this issue, this paper introduces a novel deep learning approach that simultaneously performs denoising and phase unwrapping. The proposed architecture features a unified encoder and two decoders connected through skip connections. The effectiveness of the proposed method is assessed using two distinct datasets: (i) simulated data based on a Gaussian mixture model with varying noise levels and a dynamic range of phase values and (ii) real brain MR image data. The results of the proposed method are compared with existing phase unwrapping methods like Laplacian, SEGUE, UNet, and UNet++. The proposed method has consistently outperformed these existing methods, even at a Signal to Noise Ratio (SNR) as low as -5 dB.","1945-8452","979-8-3503-1333-8","10.1109/ISBI56570.2024.10635882","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10635882","Phase Unwrapping;Denoising;MR Imaging;Deep Learning","Deep learning;Learning systems;Laplace equations;Magnetic resonance imaging;Noise reduction;Noise measurement;Gaussian mixture model","","","","17","IEEE","22 Aug 2024","27-30 May 2024","27-30 May 2024","IEEE","IEEE Conferences"
"Fractional Anisotropic Diffusion For Image Denoising","S. K. Chandra; M. Kumar Bajpai","Computer Science and Engineering, Indian Institute of Information Technology, Design and Manufacturing, Jabalpur, India; Computer Science and Engineering, Indian Institute of Information Technology, Design and Manufacturing, Jabalpur, India",2018 IEEE 8th International Advance Computing Conference (IACC),"18 Apr 2019","2018","","","344","348","An image denoising plays an important role in wide variety of applications. It is one of critical operation in image processing. Image denoising without losing important features is very difficult and challenging task. Many of the techniques have been proposed for image denoising. But, most of the techniques fail to preserve fine details in the image. In this work, a fractional anisotropic model is being presented which not only removes noise but also preserve fine details present in the image. Qualitative and quantitative analysis has been performed. It has been found that the proposed method is superior in image de-noising.","2473-3571","978-1-5386-6678-4","10.1109/IADCC.2018.8692094","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8692094","Fractional calculus;Anisotropic diffusion;Image denoising","Maximum likelihood detection;Smoothing methods;Anisotropic magnetoresistance;Statistical analysis;Image edge detection;Noise;Nonlinear filters;Numerical models;Fractional calculus;Image denoising","","6","","11","IEEE","18 Apr 2019","14-15 Dec. 2018","14-15 Dec. 2018","IEEE","IEEE Conferences"
"Rotationally-invariant non-local means for image denoising and tomography","S. Sreehari; S. V. Venkatakrishnan; L. Drummy; J. Simmons; C. A. Bouman","Electrical and Computer Engineering, Purdue University, West Lafayette, IN, USA; Lawrence Berkeley National Laboratory, Berkeley, CA, USA; Air Force Research Laboratory, Dayton, OH, USA; Air Force Research Laboratory, Dayton, OH, USA; Electrical and Computer Engineering, Purdue University, West Lafayette, IN, USA",2015 IEEE International Conference on Image Processing (ICIP),"10 Dec 2015","2015","","","542","546","Many samples imaged in structural biology and material science contain several similar particles at random locations and orientations. Model-based iterative reconstruction (MBIR) methods can in principle be used to exploit such redundancies in images through log prior probabilities that accurately account for non-local similarity between the particles. However, determining such a log prior term can be challenging. Several denoising algorithms like non-local means (NLM) successfully capture such non-local redundancies, but the problem is two-fold: NLM is not explicitly formulated as a cost function, and neither can it capture similarity between randomly oriented particles. In this paper, we propose a rotationally-invariant nonlocal means (RINLM) algorithm, and describe a method to implement RINLM as a prior model using a novel framework that we call plug-and-play priors. We introduce the idea of patch pre-rotation to make RINLM computationally tractable. Finally, we showcase image denoising and 2D tomography results, using the proposed RINLM algorithm, as we highlight high reconstruction quality, image sharpness, and artifact suppression.","","978-1-4799-8339-1","10.1109/ICIP.2015.7350857","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7350857","Rotationally-invariant NLM;denoising;tomography;plug-and-play;prior modeling","Image reconstruction;Noise reduction;Tomography;Redundancy;Convergence;Image denoising;Computational modeling","","2","","22","IEEE","10 Dec 2015","27-30 Sept. 2015","27-30 Sept. 2015","IEEE","IEEE Conferences"
"Flex-DLD: Deep Low-Rank Decomposition Model With Flexible Priors for Hyperspectral Image Denoising and Restoration","Y. Chen; H. Zhang; Y. Wang; Y. Yang; J. Wu","National Engineering Research Center of Robot Visual Perception and Control Technology, Hunan University, Changsha, Hunan, China; National Engineering Research Center of Robot Visual Perception and Control Technology, Hunan University, Changsha, Hunan, China; National Engineering Research Center of Robot Visual Perception and Control Technology, Hunan University, Changsha, Hunan, China; Department of Electrical and Computer Engineering, Western University, London, ON, Canada; Department of Electrical and Computer Engineering, University of Windsor, Windsor, ON, Canada",IEEE Transactions on Image Processing,"13 Feb 2024","2024","33","","1211","1226","Hyperspectral images (HSIs) are composed of hundreds of contiguous waveband images, offering a wealth of spatial and spectral information. However, the practical use of HSIs is often hindered by the presence of complicated noise caused by various factors such as non-uniform sensor response and dark current. Traditional methods for denoising HSIs rely on constrained optimization approaches, where selecting appropriate prior knowledge is critical for achieving satisfactory results. Nevertheless, these traditional algorithms are limited by hand-crafted priors, leaving room for improvement in their denoising performance. Recently, the supervised deep learning technique has emerged as a promising approach for HSI denoising. However, their requirement for paired training data and poor generalization ability on untrained noise distributions pose challenges in practical applications. In this paper, we design a novel algorithm by the synergism of optimization-based methods and deep learning techniques. Specifically, we introduce a plug-and-play Deep Low-rank Decomposition (DLD) model into the optimization framework. Furthermore, we propose an effective mechanism to incorporate traditional prior knowledge into the DLD model. Finally, we provide a detailed analysis of the optimization process and convergence of the proposed method. Empirical evaluations on various tasks, including hyperspectral image denoising and spectral compressive imaging, demonstrate the superiority of our approach over state-of-the-art methods.","1941-0042","","10.1109/TIP.2024.3360902","National Natural Science Foundation of China(grant numbers:62027810,61971071); Major Research Plan of the National Natural Science Foundation of China(grant numbers:92148204); Hunan Leading Talent of Technological Innovation(grant numbers:2022RC3063); Hunan Science Fund for Distinguished Young Scholars(grant numbers:2021JJ10025); Joint Open Foundation of State Key Laboratory of Robotics(grant numbers:2021-KF-22-17); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10423584","Hyperspectral image denoising;image restoration;low-rank decomposition;self-supervised learning","Noise reduction;Optimization;Hyperspectral imaging;Image restoration;Tensors;Noise measurement;Electronics packaging","","36","","48","IEEE","6 Feb 2024","2024","","IEEE","IEEE Journals"
"Non-Convex TV Regularization for Text Image Denoising with Chebyshev-Accelerated ADMM","N. Kumar; G. Bhatnagar","Department of Mathematics, Indian Institute of Technology, Jodhpur, India; Department of Mathematics, Indian Institute of Technology, Jodhpur, India",2025 IEEE 8th International Conference on Multimedia Information Processing and Retrieval (MIPR),"11 Nov 2025","2025","","","316","322","Forensic analysis and traffic surveillance rely on high-quality image processing, but noise from poor lighting, weather, and sensor limitations degrades text recognition. Existing denoising methods struggle with oversmoothing, poor generalization, or inefficiency in complex noise. This study proposes a non-convex total variation regularization model with a hyper-Laplacian prior to enhance sparsity and preserve edges. Optimized using the Alternate direction method of multiplier and Chebyshev method, the model outperforms existing techniques in noise removal, edge retention, and numerical convergence. Experimental results confirm its effectiveness, making it a reliable solution for real-world text image denoising in forensic and surveillance applications.","2770-4319","979-8-3315-9465-7","10.1109/MIPR67560.2025.00057","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11226011","ADMM;Chebyshev;Image denoising;Non-Convex optimization;Sparsity;Total variation","TV;Image edge detection;Surveillance;Forensics;Noise;Total variance;Chebyshev approximation;Numerical models;Image denoising;Convergence","","","","31","IEEE","11 Nov 2025","6-8 Aug. 2025","6-8 Aug. 2025","IEEE","IEEE Conferences"
"Joint denoising and decompression: A patch-based Bayesian approach","J. Preciozzi; M. González; A. Almansa; P. Musé","Universidad de la Republica Uruguay, Montevideo, Montevideo, UY; Facultad de Ingeniería, Universidad de la República, Uruguay; CNRS & MAP5, Université Paris Descartes, France; Facultad de Ingeniería, Universidad de la República, Uruguay",2017 IEEE International Conference on Image Processing (ICIP),"22 Feb 2018","2017","","","1252","1256","JPEG and Wavelet compression artifacts leading to Gibbs effects and loss of texture are well known and many restoration solutions exist in the literature. So is denoising, which has occupied the image processing community for decades. However, when a noisy image is compressed, the noisy wavelet coefficients can be assigned to the “wrong” quantization interval, generating artifacts that can have dramatic consequences in products derived from satellite image pairs such as sub-pixel stereo vision and digital terrain elevation models. Despite the fact that the importance of such artifacts in very high resolution satellite imaging has recently been recognized, this restoration problem has been rarely addressed in the literature. In this work we present a thorough probabilistic analysis of the wavelet outliers phenomenon, and conclude that their probabilistic nature is characterized by a single parameter related to the ratio q/σ of the compression rate and the instrumental noise. This analysis provides the conditional probability for a Bayesian MAP estimator, whereas a patch-based local Gaussian prior model is learnt from the corrupted image iteratively, like in state-of-the-art patch-based denoising algorithms, albeit with the additional difficulty of dealing with non-Gaussian noise during the learning process. The resulting joint denoising and decompression algorithm is experimentally evaluated under realistic conditions. The results show its ability to simultaneously denoise, decompress and remove wavelet outliers better than the available alternatives, both from a quantitative and a qualitative point of view. As expected, the advantage of our method is more evident for large values of q/σ.","2381-8549","978-1-5090-2175-8","10.1109/ICIP.2017.8296482","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8296482","Inverse problems in Imaging;Satellite Imaging;Remote Sensing;Joint Denoising and Decompression;Patch-based non-local methods;Bayesian estimation","Satellites;Image coding;Noise reduction;Quantization (signal);Image restoration;Wavelet domain;Imaging","","2","","18","IEEE","22 Feb 2018","17-20 Sept. 2017","17-20 Sept. 2017","IEEE","IEEE Conferences"
"Optimal graph laplacian regularization for natural image denoising","J. Pang; G. Cheung; A. Ortega; O. C. Au","Hong Kong University of Science and Technology, Kowloon, HK; Kokuritsu Johogaku Kenkyujo, Chiyoda-ku, Tokyo, JP; University of Southern California, Los Angeles, CA, US; Hong Kong University of Science and Technology, Kowloon, HK","2015 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","6 Aug 2015","2015","","","2294","2298","Image denoising is an under-determined problem, and hence it is important to define appropriate image priors for regularization. One recent popular prior is the graph Laplacian regularizer, where a given pixel patch is assumed to be smooth in the graph-signal domain. The strength and direction of the resulting graph-based filter are computed from the graph's edge weights. In this paper, we derive the optimal edge weights for local graph-based filtering using gradient estimates from non-local pixel patches that are self-similar. To analyze the effects of the gradient estimates on the graph Laplacian regularizer, we first show theoretically that, given graph-signal hD is a set of discrete samples on continuous function h(x; y) in a closed region Ω, graph Laplacian regularizer (hD)TLhD converges to a continuous functional SΩ integrating gradient norm of h in metric space G—i.e., (▽h)TG−1(▽h)—over Ω. We then derive the optimal metric space G★: one that leads to a graph Laplacian regularizer that is discriminant when the gradient estimates are accurate, and robust when the gradient estimates are noisy. Finally, having derived G★ we compute the corresponding edge weights to define the Laplacian L used for filtering. Experimental results show that our image denoising algorithm using the per-patch optimal metric space G★ outperforms non-local means (NLM) by up to 1.5 dB in PSNR.","2379-190X","978-1-4673-6997-8","10.1109/ICASSP.2015.7178380","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7178380","graph Laplacian regularization;metric space;image denoising;inverse imaging problem","Laplace equations;Extraterrestrial measurements;Image denoising;Noise measurement;Noise;Image edge detection","","48","","","IEEE","6 Aug 2015","19-24 April 2015","19-24 April 2015","IEEE","IEEE Conferences"
"A quantitative comparative study of image denoising algorithms: Conventional vs Deep Learning algorithms","M. abdelmounaime; S. A. Soumia; M. Zoubeida","Faculty of Science and Technology, Advanced Electronics and Telecommunications Laboratory ETA, Bordj BouArréridj, Algeria; Faculty of Science and Technology, Advanced Electronics and Telecommunications Laboratory ETA, Bordj BouArréridj, Algeria; Faculty of Science and Technology, Advanced Electronics and Telecommunications Laboratory ETA, Bordj BouArréridj, Algeria",2024 2nd International Conference on Electrical Engineering and Automatic Control (ICEEAC),"8 Jul 2024","2024","","","1","6","MRI examination is one of the medical supports to assess the structure and anatomy of vertebrae thoracal. The modality that can be used is low field MRI. The disadvantages are produces low signals and noise. If the signal is low and the noise is high then the SNR value is low. As long as the solution is to image denoising, we will discuss in this research paper an analytical comparative study of conventionnal image denoising approches using bilateral filter and BM3D On the one hand, methods that rely on deep learning, especially DnCNN.","","979-8-3503-4974-0","10.1109/ICEEAC61226.2024.10576236","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10576236","","Deep learning;Electrical engineering;Magnetic resonance imaging;Filtering algorithms;Image restoration;Anatomy;Image denoising","","","","11","IEEE","8 Jul 2024","12-14 May 2024","12-14 May 2024","IEEE","IEEE Conferences"
"Medical image compression with thresholding denoising using discrete cosine-based discrete orthogonal stockwell transform","Q. Yu; F. Sun; P. Babyn; C. Zhang; F. Liu; J. Qin; H. Yu; G. Yao","School of Information Science and Engineering, Shandong University, Jinan, China; School of Information Science and Engineering, Shandong University, Jinan, China; Department of Medical Imaging, University of Saskatchewan and Saskatoon Health Region, Saskatoon, Canada; School of Information Science and Engineering, Shandong University, Jinan, China; School of Information Science and Engineering, Shandong University, Jinan, China; School of Information Science and Engineering, Shandong University, Jinan, China; School of Information Science and Engineering, Shandong University, Jinan, China; Cardiology Department, Qilu Hospital of Shandong University (Qingdao), Qindao, China",2017 3rd IEEE International Conference on Computer and Communications (ICCC),"26 Mar 2018","2017","","","1857","1860","Discrete Cosine-based Discrete Orthogonal Stockwell Transform (DCST) provides a time-frequency representation method of signal, and has broad application prospects in image processing. Based on DCST transform, we propose a method for medical image compression while improving the image quality. Main steps of the method are as follows: the image is transformed into coefficients in DCST domain; and then these coefficients are handled using soft thresholding technique. Finally, Huffman coding is used to compress the image in DCST domain. Experimental results show that the method can substantially promote the compression ratio and time efficiency under the premise of increasing the signal-to-noise ratio. So the new method is feasible and practicable for medical image compression with noise reduction.","","978-1-5090-6352-9","10.1109/CompComm.2017.8322860","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8322860","DCST;image compression;thresholding denoising;huffman coding","Image coding;Transforms;Signal to noise ratio;Noise reduction;Biomedical imaging;Huffman coding;Thresholding (Imaging)","","7","","11","IEEE","26 Mar 2018","13-16 Dec. 2017","13-16 Dec. 2017","IEEE","IEEE Conferences"
"An efficient hybrid Fourier-Wavelet Neighborhood Coefficient image denoising approach","T. Williams; R. Li","Department of Electrical & Computer Engineering, North Carolina A&T State University, Greensboro, NC, USA; Department of Electrical & Computer Engineering, North Carolina A&T State University, Greensboro, NC, USA",SoutheastCon 2016,"9 Jul 2016","2016","","","1","4","Image denoising is an issue in image processing, constantly spawning ideas to better deal with this problem. Both the Fourier and Wavelet domains remove noise, but have their own weaknesses. A hybrid Fourier-Wavelet Neighborhood Coefficient method is proposed, with experiments showing that the effectiveness of this method is greater than the previous hybrid Fourier-Wavelet neighborhood approach.","1558-058X","978-1-5090-2246-5","10.1109/SECON.2016.7506761","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7506761","Fourier;Wavelet;Hybrid;Neighborhood;Database;Denoising;Thresholding;PSNR","Noise measurement;Noise reduction;Image denoising;Noise level;Wavelet coefficients;Visualization","","1","","13","IEEE","9 Jul 2016","30 March-3 April 2016","30 March-3 April 2016","IEEE","IEEE Conferences"
"Research on Image Denoising Method Based on Dual Frequency Domain Transform","C. Li","HanKou University, WuHan, China","2024 IEEE 6th Advanced Information Management, Communicates, Electronic and Automation Control Conference (IMCEC)","2 Jul 2024","2024","6","","861","864","An image denoising method based on dual frequency domain transform is proposed to improve the quality of noisy images. Based on the characteristics of useful signals and noise, new high-frequency sub-band coefficients are obtained by weakening and enhancing the high-frequency sub-band coefficients obtained by frequency domain transform to varying degrees. Different noises-reducing methods are emulated to validate the effectiveness of proposed method. The experimental results show that the proposed method can effectively improve the image denoising effect and obtain denoised images with high peak signal-to-noise ratio and structural similarity.","2693-2776","979-8-3503-1653-7","10.1109/IMCEC59810.2024.10575759","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10575759","Image denoising;Stationary wavelet transform;Wavelet transform;Peak signal-to-noise ratio;Structural similarity","Wavelet transforms;Wavelet domain;PSNR;Frequency-domain analysis;Simulation;Noise reduction;Information management","","1","","11","IEEE","2 Jul 2024","24-26 May 2024","24-26 May 2024","IEEE","IEEE Conferences"
"Weighted Tensor Nuclear Norm Minimization for Color Image Restoration","K. Hosono; S. Ono; T. Miyata","Chiba Institute of Technology, Narashino, Japan; Department of Computer Science, Tokyo Institute of Technology, Tokyo, Japan; Chiba Institute of Technology, Narashino, Japan",IEEE Access,"16 Jul 2019","2019","7","","88768","88776","Non-local self-similarity (NLSS) is widely used as prior information in an image restoration method. In particular, a low-rankness-based prior has a significant effect on performance. On the other hand, a number of color extensions of NLSS-based grayscale image restoration methods have been developed. These extensions focus on the pixel-wise correlation among color channels. However, a natural color image also has a complex dependency, known as an inter-channel dependency, among local regions from different color channels. As a result, color artifacts appear in a denoised image obtained by using the existing methods. In this paper, we propose a novel non-local and inter-channel dependency-aware prior called the weighted tensor nuclear norm (WTNN). The proposed prior is derived by incorporating inter-channel dependency to low-rank-based NLSS prior. The WTNN is a low-rankness-of-the-third-order patch tensor, and we apply it to the tensors constructed with non-local similar patches. It enables us to naturally represent the higher-order dependencies among similar color patches. We propose an image denoising algorithm using the WTNN and image restoration algorithm by using a non-trivial generalization of this algorithm. The experimental results clearly show that the proposed WTNN-based color image denoising and restoration algorithms outperform state-of-the-art methods.","2169-3536","","10.1109/ACCESS.2019.2926507","Japan Society for the Promotion of Science(grant numbers:JP19K04377); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8754691","Color image processing;image denoising;image restoration;nuclear norm;optimization;tensor","Image restoration;Image color analysis;Color;Noise reduction;Image denoising;Minimization","","15","","34","CCBY","3 Jul 2019","2019","","IEEE","IEEE Journals"
"Learning Blind Denoising Network for Noisy Image Deblurring","M. Chen; Y. Chang; S. Cao; L. Yan","National Key Laboratory of Science and Technology on Multi-spectral Information Processing, School of Artificial Intelligence and Automation, Huazhong University of Science and Technology; National Key Laboratory of Science and Technology on Multi-spectral Information Processing, School of Artificial Intelligence and Automation, Huazhong University of Science and Technology; National Key Laboratory of Science and Technology on Multi-spectral Information Processing, School of Artificial Intelligence and Automation, Huazhong University of Science and Technology; National Key Laboratory of Science and Technology on Multi-spectral Information Processing, School of Artificial Intelligence and Automation, Huazhong University of Science and Technology","ICASSP 2020 - 2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","9 Apr 2020","2020","","","2533","2537","Noisy image deblurring is to recover the blurry image in the presence of the random noise. One key to this problem is to know the noise level in each iteration. The existing methods manually adjust the regularization parameter for varying noise levels, which is quite inaccuracy and tedious for practical application. In this work, we discover that the noise level and the denoiser is tightly coupled. Consequently, we propose efficient blind denoising convolutional neural network (BDCNN) consisting of two stages: a down-sampling regression network for estimating noise level and a fully convolutional network for denoising, such that our model could adaptively handle the unknown noise level during iteration. Further, the BDCNN functions as a discriminative prior and is plugged into the iterative deblurring framework for noisy image deblurring. Experimental results demonstrate that the proposed method outperforms state-of-the-art methods in terms of practicability and performance.","2379-190X","978-1-5090-6631-5","10.1109/ICASSP40776.2020.9053539","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9053539","Noisy image deblurring;blind denoising network;plug-and-play;iterative deblurring framework","Noise reduction;Robustness;Image restoration;Noise measurement;Speech processing;Tuning;Noise level","","9","","24","IEEE","9 Apr 2020","4-8 May 2020","4-8 May 2020","IEEE","IEEE Conferences"
"Hyperspectral Image Denoising Based on Global and Nonlocal Low-Rank Factorizations","L. Zhuang; X. Fu; M. K. Ng; J. M. Bioucas-Dias","Department of Mathematics, Hong Kong Baptist University, Kowloon, Hong Kong; Guangdong Laboratory of Artificial Intelligence and Digital Economy (SZ), Shenzhen University, Shenzhen, China; Department of Mathematics, The University of Hong Kong, Pokfulam, Hong Kong; Instituto de Telecomunicações, Instituto Superior Técnico, Universidade de Lisbon, Lisbon, Portugal",IEEE Transactions on Geoscience and Remote Sensing,"23 Nov 2021","2021","59","12","10438","10454","The ever-increasing spectral resolution of hyperspectral images (HSIs) is often obtained at the cost of a decrease in the signal-to-noise ratio of the measurements, thus calling for effective denoising techniques. HSIs from the real world lie in low-dimensional subspaces and are self-similar. The low dimensionality stems from the high correlation existing among the reflectance vectors, and self-similarity is common in real-world images. In this article, we exploit the above two properties. The low dimensionality is a global property that enables the denoising to be formulated just with respect to the subspace representation coefficients, thus greatly improving the denoising performance and reducing the computational complexity during processing. The self-similarity is exploited via a low-rank tensor factorization of nonlocal similar 3-D patches. The proposed factorization hinges on the optimal shrinkage/thresholding of the singular value decomposition (SVD) singular values of low-rank tensor unfoldings. As a result, the proposed method is user friendly and insensitive to its parameters. Its effectiveness is illustrated in a comparison with state-of-the-art competitors. A MATLAB demo of this work is available at https://github.com/LinaZhuang for the sake of reproducibility.","1558-0644","","10.1109/TGRS.2020.3046038","National Natural Science Foundation of China(grant numbers:42001287); Hong Kong Research Grants Council (HKRGC) General Research Fund (GRF)(grant numbers:12306616,12200317,12300218,12300519,17201020); University of Hong Kong (HKU)(grant numbers:104005583); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9318519","3-D patches;hyperspectral image (HSI) denoising;low-rank tensor factorization;self-similarity","Tensors;Noise reduction;Hyperspectral imaging;Correlation;Covariance matrices;Training data;Image denoising","","110","","41","IEEE","8 Jan 2021","Dec. 2021","","IEEE","IEEE Journals"
